;age;job;marital;education;default;housing;loan;contact;month;day_of_week;duration;campaign;pdays;previous;poutcome;emp.var.rate;cons.price.idx;cons.conf.idx;euribor3m;nr.employed;y
2268;59;3;1;0;1;0;2;1;6;3;70;1;999;0;1;1.1;93.994;-36.4;4.856;5191.0;0
22717;31;9;0;3;0;2;0;0;1;0;138;1;999;0;1;1.4;93.444;-36.1;4.964;5228.1;0
80;50;1;1;0;1;2;0;1;6;1;193;1;999;0;1;1.1;93.994;-36.4;4.857;5191.0;0
19852;44;7;1;3;1;2;2;0;1;0;324;1;999;0;1;1.4;93.444;-36.1;4.966;5228.1;0
412;30;1;1;2;0;0;0;1;6;3;227;1;999;0;1;1.1;93.994;-36.4;4.857;5191.0;0
21565;43;0;1;6;0;0;2;0;1;3;209;1;999;0;1;1.4;93.444;-36.1;4.963;5228.1;0
37458;27;0;2;3;0;0;2;0;1;2;255;2;999;1;0;-2.9;92.201;-31.4;0.873;5076.2;0
18004;46;0;1;6;0;2;0;0;3;4;28;11;999;0;1;1.4;93.918;-42.7;4.963;5228.1;0
3912;39;2;0;6;0;2;0;1;6;1;219;2;999;0;1;1.1;93.994;-36.4;4.858;5191.0;0
38910;55;4;1;6;0;2;0;0;7;3;283;1;999;0;1;-3.4;92.649;-30.1;0.716;5017.5;0
15388;33;0;2;3;0;0;0;0;3;0;191;1;999;0;1;1.4;93.918;-42.7;4.957;5228.1;0
24819;35;10;2;1;1;2;0;0;7;3;51;1;999;1;0;-0.1;93.2;-42.0;4.153;5195.8;0
38818;26;1;2;3;0;0;0;1;7;0;201;1;999;0;1;-3.4;92.649;-30.1;0.714;5017.5;0
28445;36;1;1;2;0;0;0;0;0;3;129;1;999;0;1;-1.8;93.075;-47.1;1.423;5099.1;0
17558;45;0;1;3;0;2;2;0;3;1;283;4;999;0;1;1.4;93.918;-42.7;4.962;5228.1;0
2337;42;0;2;3;0;0;0;1;6;3;205;1;999;0;1;1.1;93.994;-36.4;4.856;5191.0;0
3532;31;1;0;1;0;2;0;1;6;0;597;17;999;0;1;1.1;93.994;-36.4;4.859;5191.0;0
31561;34;0;2;1;0;0;0;0;6;2;22;11;999;0;1;-1.8;92.893;-46.2;1.327;5099.1;0
41034;33;7;2;3;0;2;0;0;8;1;182;1;6;1;2;-1.1;94.601;-49.5;1.032;4963.6;1
23762;43;0;1;6;0;2;0;0;1;2;24;13;999;0;1;1.4;93.444;-36.1;4.962;5228.1;0
17854;54;0;0;3;0;0;2;0;3;3;129;4;999;0;1;1.4;93.918;-42.7;4.961;5228.1;0
39422;71;5;1;5;0;2;0;0;0;2;236;2;999;0;1;-1.8;93.749;-34.6;0.64;5008.7;0
2007;34;7;1;3;1;2;0;1;6;1;221;2;999;0;1;1.1;93.994;-36.4;4.857;5191.0;0
14953;46;4;0;0;0;0;0;1;3;4;201;5;999;0;1;1.4;93.918;-42.7;4.957;5228.1;0
36003;31;0;1;6;0;2;0;0;6;3;309;1;999;0;1;-1.8;92.893;-46.2;1.266;5099.1;0
12886;31;4;2;2;0;2;0;0;3;3;123;4;999;0;1;1.4;93.918;-42.7;4.962;5228.1;0
23466;53;9;1;5;1;2;2;0;1;4;276;2;999;0;1;1.4;93.444;-36.1;4.964;5228.1;0
16917;48;0;1;3;0;2;0;0;3;2;903;1;999;0;1;1.4;93.918;-42.7;4.962;5228.1;1
18183;36;0;1;3;0;2;0;0;3;4;136;13;999;0;1;1.4;93.918;-42.7;4.963;5228.1;0
29843;31;7;1;2;0;0;0;0;0;1;643;3;999;0;1;-1.8;93.075;-47.1;1.405;5099.1;0
21517;45;9;2;6;1;0;0;0;1;3;117;4;999;0;1;1.4;93.444;-36.1;4.963;5228.1;0
19962;31;0;2;6;0;2;0;0;1;0;136;1;999;0;1;1.4;93.444;-36.1;4.966;5228.1;0
1395;43;10;1;0;0;0;0;1;6;2;92;1;999;0;1;1.1;93.994;-36.4;4.855;5191.0;0
28233;35;10;0;6;0;0;0;0;0;3;253;1;999;1;0;-1.8;93.075;-47.1;1.453;5099.1;0
2422;36;1;1;3;0;0;2;1;6;3;100;1;999;0;1;1.1;93.994;-36.4;4.856;5191.0;0
29389;39;0;1;3;0;2;0;0;0;0;479;2;999;0;1;-1.8;93.075;-47.1;1.405;5099.1;0
10339;52;1;1;0;0;0;0;1;4;1;50;3;999;0;1;1.4;94.465;-41.8;4.96;5228.1;0
5530;44;10;1;6;1;0;2;1;6;1;19;17;999;0;1;1.1;93.994;-36.4;4.857;5191.0;0
8642;50;3;0;3;1;2;0;1;4;4;763;4;999;0;1;1.4;94.465;-41.8;4.864;5228.1;0
19045;39;0;1;6;0;2;2;0;1;3;328;1;999;0;1;1.4;93.444;-36.1;4.968;5228.1;0
18564;32;7;2;3;0;0;2;0;3;2;81;2;999;0;1;1.4;93.918;-42.7;4.968;5228.1;0
39777;31;11;2;3;0;0;0;0;6;1;140;5;6;2;2;-1.8;93.876;-40.0;0.701;5008.7;0
22714;35;4;1;6;0;0;2;0;1;0;873;5;999;0;1;1.4;93.444;-36.1;4.964;5228.1;1
698;40;2;1;2;0;0;0;1;6;3;109;2;999;0;1;1.1;93.994;-36.4;4.857;5191.0;0
3106;37;6;1;2;0;2;0;1;6;2;65;1;999;0;1;1.1;93.994;-36.4;4.86;5191.0;0
28180;57;1;1;3;0;2;0;0;0;3;355;3;999;0;1;-1.8;93.075;-47.1;1.453;5099.1;0
35555;25;1;2;2;0;2;0;0;6;1;165;1;999;0;1;-1.8;92.893;-46.2;1.244;5099.1;0
26056;31;1;2;3;0;2;0;0;7;4;154;2;999;0;1;-0.1;93.2;-42.0;4.12;5195.8;0
10717;42;6;1;7;0;2;0;1;4;3;60;3;999;0;1;1.4;94.465;-41.8;4.961;5228.1;0
757;39;1;1;0;1;0;0;1;6;4;169;3;999;0;1;1.1;93.994;-36.4;4.856;5191.0;0
8376;40;9;1;5;0;0;0;1;4;3;61;2;999;0;1;1.4;94.465;-41.8;4.864;5228.1;0
3274;45;11;1;7;0;0;2;1;6;2;160;1;999;0;1;1.1;93.994;-36.4;4.86;5191.0;0
36899;40;4;1;6;0;2;0;0;4;1;295;3;999;0;1;-2.9;92.963;-40.8;1.215;5076.2;1
3787;34;0;1;3;0;2;2;1;6;0;180;1;999;0;1;1.1;93.994;-36.4;4.859;5191.0;0
38637;56;0;0;3;0;0;0;0;7;3;786;1;999;0;1;-3.4;92.649;-30.1;0.72;5017.5;0
37251;36;7;1;2;0;2;0;0;1;0;221;1;4;1;2;-2.9;92.201;-31.4;0.881;5076.2;1
4369;38;1;2;2;0;0;2;1;6;3;208;2;999;0;1;1.1;93.994;-36.4;4.856;5191.0;0
2360;53;0;1;6;0;2;0;1;6;3;118;1;999;0;1;1.1;93.994;-36.4;4.856;5191.0;0
9103;60;0;2;3;0;0;0;1;4;0;118;1;999;0;1;1.4;94.465;-41.8;4.967;5228.1;0
30208;32;0;1;6;0;2;0;0;0;2;116;1;999;1;0;-1.8;93.075;-47.1;1.365;5099.1;0
19298;38;0;2;3;0;2;0;0;1;4;246;1;999;0;1;1.4;93.444;-36.1;4.967;5228.1;0
26953;52;0;1;6;0;2;0;0;7;2;134;3;999;0;1;-0.1;93.2;-42.0;4.076;5195.8;0
11838;48;0;2;6;0;2;0;1;4;0;14;3;999;0;1;1.4;94.465;-41.8;4.959;5228.1;0
20817;31;0;1;6;0;2;2;0;1;4;274;2;999;0;1;1.4;93.444;-36.1;4.965;5228.1;0
28139;55;4;0;6;0;2;0;0;0;1;232;3;999;0;1;-1.8;93.075;-47.1;1.466;5099.1;0
40461;55;0;0;3;0;2;0;0;1;3;244;2;6;3;2;-1.7;94.027;-38.3;0.904;4991.6;1
27484;50;9;1;5;0;0;0;0;7;0;402;4;999;1;0;-0.1;93.2;-42.0;4.021;5195.8;0
39228;26;0;2;3;0;0;0;0;5;3;273;2;6;1;2;-1.8;93.369;-34.8;0.652;5008.7;1
3123;32;3;1;0;0;0;0;1;6;2;244;1;999;0;1;1.1;93.994;-36.4;4.86;5191.0;0
9776;39;0;1;6;0;0;0;1;4;1;135;2;999;0;1;1.4;94.465;-41.8;4.961;5228.1;0
29933;38;7;1;3;0;0;0;0;0;1;250;2;999;0;1;-1.8;93.075;-47.1;1.405;5099.1;0
1483;35;0;2;1;0;2;0;1;6;2;210;2;999;0;1;1.1;93.994;-36.4;4.855;5191.0;0
23908;33;0;2;6;0;0;0;0;1;0;38;3;999;0;1;1.4;93.444;-36.1;4.963;5228.1;0
11398;38;1;1;1;0;2;0;1;4;0;167;2;999;0;1;1.4;94.465;-41.8;4.959;5228.1;0
24258;42;3;1;6;0;2;0;1;7;1;85;1;999;0;1;-0.1;93.2;-42.0;4.191;5195.8;0
4658;58;4;1;6;1;0;0;1;6;4;134;5;999;0;1;1.1;93.994;-36.4;4.858;5191.0;0
25286;48;9;1;6;0;0;0;0;7;3;373;4;999;0;1;-0.1;93.2;-42.0;4.153;5195.8;0
29544;40;1;1;1;0;0;0;0;0;1;97;2;999;0;1;-1.8;93.075;-47.1;1.405;5099.1;0
8733;38;1;1;1;0;2;0;1;4;4;382;3;999;0;1;1.4;94.465;-41.8;4.864;5228.1;0
7586;38;0;0;3;0;2;0;1;6;0;224;5;999;0;1;1.1;93.994;-36.4;4.864;5191.0;0
153;56;2;1;7;1;0;0;1;6;1;204;1;999;0;1;1.1;93.994;-36.4;4.857;5191.0;0
31519;34;3;1;3;1;0;0;0;6;4;361;5;999;1;0;-1.8;92.893;-46.2;1.334;5099.1;0
39742;60;5;1;3;0;0;0;0;6;2;181;3;6;1;2;-1.8;93.876;-40.0;0.699;5008.7;1
33996;34;4;1;6;0;2;0;0;6;4;77;4;999;0;1;-1.8;92.893;-46.2;1.281;5099.1;0
23749;31;0;1;6;0;0;0;0;1;2;36;5;999;0;1;1.4;93.444;-36.1;4.962;5228.1;0
17238;50;3;1;0;1;1;1;0;3;0;356;9;999;0;1;1.4;93.918;-42.7;4.962;5228.1;0
1124;49;9;1;5;1;1;1;1;6;4;865;2;999;0;1;1.1;93.994;-36.4;4.856;5191.0;0
3458;60;2;1;0;0;1;1;1;6;2;101;3;999;0;1;1.1;93.994;-36.4;4.86;5191.0;0
38202;63;5;1;3;0;2;0;0;8;4;323;1;999;0;1;-3.4;92.431;-26.9;0.74;5017.5;0
10709;50;0;1;3;0;2;0;1;4;3;167;2;999;0;1;1.4;94.465;-41.8;4.961;5228.1;0
16343;29;1;2;2;1;2;0;0;3;3;714;1;999;0;1;1.4;93.918;-42.7;4.961;5228.1;0
31023;37;0;1;3;0;0;0;0;6;3;305;5;999;0;1;-1.8;92.893;-46.2;1.344;5099.1;0
5983;57;5;1;3;1;0;0;1;6;3;147;1;999;0;1;1.1;93.994;-36.4;4.857;5191.0;0
11608;46;0;1;3;0;0;0;1;4;0;47;4;999;0;1;1.4;94.465;-41.8;4.959;5228.1;0
32792;32;1;1;2;0;0;0;0;6;1;177;1;999;1;0;-1.8;92.893;-46.2;1.299;5099.1;0
13647;41;0;1;7;0;0;0;0;3;2;277;1;999;0;1;1.4;93.918;-42.7;4.963;5228.1;0
1260;48;9;1;5;1;2;0;1;6;2;306;1;999;0;1;1.1;93.994;-36.4;4.855;5191.0;0
14645;48;0;2;6;0;0;0;1;3;3;237;7;999;0;1;1.4;93.918;-42.7;4.961;5228.1;0
18295;56;9;0;6;1;2;2;0;3;4;448;5;999;0;1;1.4;93.918;-42.7;4.963;5228.1;0
23263;29;0;2;6;0;0;0;0;1;4;130;6;999;0;1;1.4;93.444;-36.1;4.964;5228.1;0
37845;25;8;2;7;1;2;0;0;1;0;121;1;15;2;0;-2.9;92.201;-31.4;0.825;5076.2;0
22693;33;0;2;6;0;0;0;0;1;0;398;5;999;0;1;1.4;93.444;-36.1;4.964;5228.1;0
5025;58;0;0;6;0;2;2;1;6;4;363;6;999;0;1;1.1;93.994;-36.4;4.858;5191.0;0
16953;54;10;1;6;0;2;0;0;3;2;773;2;999;0;1;1.4;93.918;-42.7;4.962;5228.1;0
5642;38;0;1;3;1;2;0;1;6;1;265;9;999;0;1;1.1;93.994;-36.4;4.857;5191.0;0
2586;48;1;1;0;0;0;0;1;6;3;295;2;999;0;1;1.1;93.994;-36.4;4.856;5191.0;0
40286;48;3;1;5;0;0;0;0;3;4;388;3;6;1;2;-1.7;94.215;-40.3;0.896;4991.6;1
27027;41;1;2;2;1;2;0;0;7;0;299;1;999;0;1;-0.1;93.2;-42.0;4.021;5195.8;0
25818;29;1;1;2;1;0;0;0;7;4;85;2;999;0;1;-0.1;93.2;-42.0;4.12;5195.8;0
27370;34;4;1;6;0;0;0;0;7;0;158;1;999;0;1;-0.1;93.2;-42.0;4.021;5195.8;0
30078;85;5;1;0;0;2;0;0;0;0;117;2;999;0;1;-1.8;93.075;-47.1;1.4;5099.1;0
28937;38;1;1;2;0;2;0;0;0;0;612;1;999;1;0;-1.8;93.075;-47.1;1.405;5099.1;0
11644;46;0;1;3;0;0;0;1;4;0;10;2;999;0;1;1.4;94.465;-41.8;4.959;5228.1;0
6484;35;1;1;1;0;0;0;1;6;4;39;1;999;0;1;1.1;93.994;-36.4;4.857;5191.0;0
1604;30;1;1;0;0;0;0;1;6;0;371;1;999;0;1;1.1;93.994;-36.4;4.855;5191.0;0
17352;41;7;1;3;0;2;0;0;3;1;56;8;999;0;1;1.4;93.918;-42.7;4.962;5228.1;0
7101;40;9;1;0;0;2;0;1;6;2;153;1;999;0;1;1.1;93.994;-36.4;4.86;5191.0;0
9372;60;6;1;5;1;0;0;1;4;0;162;1;999;0;1;1.4;94.465;-41.8;4.967;5228.1;0
7450;36;0;1;3;0;0;0;1;6;0;381;2;999;0;1;1.1;93.994;-36.4;4.864;5191.0;0
38958;60;0;1;7;1;2;0;0;2;4;357;1;999;0;1;-3.0;92.713;-33.0;0.721;5023.5;1
10110;59;7;0;3;0;0;0;1;4;2;133;1;999;0;1;1.4;94.465;-41.8;4.958;5228.1;0
16195;48;1;1;0;0;2;0;1;3;3;563;1;999;0;1;1.4;93.918;-42.7;4.961;5228.1;0
35298;27;0;2;1;0;2;0;1;6;0;195;4;999;0;1;-1.8;92.893;-46.2;1.25;5099.1;0
37223;32;9;2;5;0;0;0;0;1;0;87;1;999;0;1;-2.9;92.201;-31.4;0.881;5076.2;1
2133;46;9;1;2;0;0;0;1;6;1;171;6;999;0;1;1.1;93.994;-36.4;4.857;5191.0;0
8952;34;9;2;5;0;0;0;1;4;2;432;8;999;0;1;1.4;94.465;-41.8;4.866;5228.1;0
39931;38;9;2;6;0;2;2;0;4;2;288;1;999;0;1;-1.7;94.055;-39.8;0.742;4991.6;0
30873;38;2;1;0;0;2;0;0;6;3;360;1;999;1;0;-1.8;92.893;-46.2;1.344;5099.1;0
26050;53;9;2;5;0;2;0;0;7;4;1468;3;999;0;1;-0.1;93.2;-42.0;4.12;5195.8;1
33365;56;1;0;0;1;2;0;0;6;3;59;1;999;0;1;-1.8;92.893;-46.2;1.291;5099.1;0
38355;49;0;2;3;0;2;0;0;8;0;136;2;999;0;1;-3.4;92.431;-26.9;0.739;5017.5;1
39312;38;0;2;6;0;2;0;0;5;2;420;1;999;0;1;-1.8;93.369;-34.8;0.643;5008.7;1
8217;55;4;1;6;0;2;0;1;4;3;22;1;999;0;1;1.4;94.465;-41.8;4.864;5228.1;0
8531;26;1;2;1;0;0;0;1;4;4;18;1;999;0;1;1.4;94.465;-41.8;4.864;5228.1;0
6009;35;9;1;5;0;2;2;1;6;3;207;2;999;0;1;1.1;93.994;-36.4;4.857;5191.0;0
199;43;1;1;1;0;2;0;1;6;1;1077;1;999;0;1;1.1;93.994;-36.4;4.857;5191.0;0
12844;43;1;1;1;0;2;0;0;3;3;220;2;999;0;1;1.4;93.918;-42.7;4.962;5228.1;0
16760;26;0;1;3;0;0;0;0;3;2;125;2;999;0;1;1.4;93.918;-42.7;4.962;5228.1;0
13802;24;7;2;6;0;0;0;0;3;2;113;6;999;0;1;1.4;93.918;-42.7;4.963;5228.1;0
2582;34;4;1;6;0;2;0;1;6;3;230;3;999;0;1;1.1;93.994;-36.4;4.856;5191.0;0
15375;26;9;1;6;0;2;0;0;3;0;116;1;999;0;1;1.4;93.918;-42.7;4.957;5228.1;0
4853;37;0;0;3;1;2;2;1;6;4;354;5;999;0;1;1.1;93.994;-36.4;4.858;5191.0;0
2269;28;1;2;2;0;1;1;1;6;3;71;1;999;0;1;1.1;93.994;-36.4;4.856;5191.0;0
33934;52;0;1;2;0;2;0;0;6;4;38;2;999;1;0;-1.8;92.893;-46.2;1.281;5099.1;0
26944;49;4;0;1;0;0;0;1;7;2;88;6;999;0;1;-0.1;93.2;-42.0;4.076;5195.8;0
29132;34;0;0;6;0;2;0;0;0;0;649;1;999;0;1;-1.8;93.075;-47.1;1.405;5099.1;0
23282;55;4;1;6;0;2;0;0;1;4;130;7;999;0;1;1.4;93.444;-36.1;4.964;5228.1;0
5337;49;1;1;2;1;2;0;1;6;0;281;27;999;0;1;1.1;93.994;-36.4;4.857;5191.0;0
4139;52;4;1;0;1;0;0;1;6;1;88;35;999;0;1;1.1;93.994;-36.4;4.858;5191.0;0
31409;33;9;1;5;1;0;0;0;6;4;167;3;999;1;0;-1.8;92.893;-46.2;1.334;5099.1;0
36480;31;0;2;3;0;0;0;0;4;4;137;3;999;0;1;-2.9;92.963;-40.8;1.26;5076.2;0
18369;37;7;0;3;0;0;0;0;3;2;98;3;999;0;1;1.4;93.918;-42.7;4.968;5228.1;0
35173;31;10;1;2;0;2;0;0;6;0;201;3;10;1;2;-1.8;92.893;-46.2;1.25;5099.1;0
27928;30;1;2;6;0;0;0;0;5;0;166;1;999;0;1;-1.8;92.843;-50.0;1.531;5099.1;0
29182;36;0;2;3;0;2;0;0;0;0;508;3;999;0;1;-1.8;93.075;-47.1;1.405;5099.1;0
35868;40;9;2;5;0;0;2;0;6;0;807;1;999;0;1;-1.8;92.893;-46.2;1.259;5099.1;0
12840;41;0;2;6;0;0;0;0;3;3;362;1;999;0;1;1.4;93.918;-42.7;4.962;5228.1;0
40471;59;0;1;6;0;2;0;0;1;4;443;3;999;0;1;-1.7;94.027;-38.3;0.903;4991.6;0
38496;42;4;1;6;0;0;0;1;8;3;83;1;3;1;2;-3.4;92.431;-26.9;0.728;5017.5;1
36308;28;6;2;6;0;0;0;0;4;1;373;2;999;0;1;-2.9;92.963;-40.8;1.266;5076.2;0
38689;26;0;2;3;0;2;0;0;7;1;262;1;3;1;2;-3.4;92.649;-30.1;0.715;5017.5;1
11877;45;11;1;7;0;0;0;1;4;0;61;4;999;0;1;1.4;94.465;-41.8;4.959;5228.1;0
40559;24;8;2;7;0;2;0;0;9;4;300;1;5;1;2;-1.1;94.199;-37.5;0.886;4963.6;1
26035;40;1;1;1;1;0;0;0;7;4;104;3;999;0;1;-0.1;93.2;-42.0;4.12;5195.8;0
36874;24;0;2;6;0;2;0;0;4;4;65;3;999;1;0;-2.9;92.963;-40.8;1.244;5076.2;0
4064;49;3;1;0;0;0;0;1;6;1;13;1;999;0;1;1.1;93.994;-36.4;4.858;5191.0;0
13005;28;7;1;3;0;0;0;0;3;3;96;1;999;0;1;1.4;93.918;-42.7;4.962;5228.1;0
34479;47;1;1;0;1;0;0;1;6;2;391;1;999;1;0;-1.8;92.893;-46.2;1.266;5099.1;0
12030;34;0;2;6;0;0;0;1;4;2;406;2;999;0;1;1.4;94.465;-41.8;4.955;5228.1;0
39348;78;5;1;7;0;0;0;0;5;2;272;1;6;2;2;-1.8;93.369;-34.8;0.635;5008.7;1
10130;44;0;2;6;1;0;0;1;4;2;80;2;999;0;1;1.4;94.465;-41.8;4.958;5228.1;0
27946;32;0;2;6;0;1;1;0;5;1;136;3;999;0;1;-1.8;92.843;-50.0;1.52;5099.1;0
5087;36;1;2;3;0;0;2;1;6;0;154;2;999;0;1;1.1;93.994;-36.4;4.857;5191.0;0
31195;57;2;0;2;0;2;0;0;6;4;236;1;999;0;1;-1.8;92.893;-46.2;1.334;5099.1;0
20488;38;9;2;3;1;0;0;0;1;3;104;6;999;0;1;1.4;93.444;-36.1;4.966;5228.1;0
1197;38;0;2;6;1;2;2;1;6;2;221;1;999;0;1;1.1;93.994;-36.4;4.855;5191.0;0
33873;22;8;2;3;0;2;0;0;6;4;315;1;999;0;1;-1.8;92.893;-46.2;1.281;5099.1;0
19061;58;7;1;7;1;2;0;0;1;3;197;1;999;0;1;1.4;93.444;-36.1;4.968;5228.1;0
11067;28;0;2;6;0;2;0;1;4;4;249;5;999;0;1;1.4;94.465;-41.8;4.962;5228.1;0
16489;30;9;1;6;0;2;0;1;3;4;31;2;999;0;1;1.4;93.918;-42.7;4.963;5228.1;0
17832;26;0;2;6;0;0;0;0;3;3;212;1;999;0;1;1.4;93.918;-42.7;4.961;5228.1;0
1676;60;5;1;6;1;2;0;1;6;0;576;1;999;0;1;1.1;93.994;-36.4;4.855;5191.0;0
13684;54;1;1;3;0;0;2;0;3;2;313;1;999;0;1;1.4;93.918;-42.7;4.963;5228.1;0
34448;38;1;1;1;1;0;0;0;6;2;72;2;999;1;0;-1.8;92.893;-46.2;1.266;5099.1;0
19218;32;0;2;6;1;0;0;0;1;4;174;1;999;0;1;1.4;93.444;-36.1;4.967;5228.1;0
33390;26;1;1;0;0;2;0;0;6;3;88;2;6;1;2;-1.8;92.893;-46.2;1.291;5099.1;0
27140;38;1;1;1;1;2;0;0;7;0;1055;1;999;0;1;-0.1;93.2;-42.0;4.021;5195.8;0
38899;66;5;2;0;0;2;0;0;7;3;525;3;999;0;1;-3.4;92.649;-30.1;0.715;5017.5;1
14866;21;0;2;3;0;2;0;0;3;4;111;1;999;0;1;1.4;93.918;-42.7;4.957;5228.1;0
28186;44;9;0;5;0;0;0;0;0;3;208;1;999;0;1;-1.8;93.075;-47.1;1.453;5099.1;0
3767;30;0;2;6;0;0;0;1;6;0;386;1;999;0;1;1.1;93.994;-36.4;4.859;5191.0;0
27943;28;0;2;3;0;0;0;0;5;0;347;2;999;0;1;-1.8;92.843;-50.0;1.531;5099.1;1
12419;44;1;1;2;1;2;0;0;3;1;139;2;999;0;1;1.4;93.918;-42.7;4.96;5228.1;0
25136;32;2;1;2;0;0;0;0;7;3;432;2;999;0;1;-0.1;93.2;-42.0;4.153;5195.8;0
41031;25;8;2;3;0;2;0;0;8;1;189;1;6;4;2;-1.1;94.601;-49.5;1.032;4963.6;0
9793;21;9;2;5;0;0;0;1;4;4;54;4;999;0;1;1.4;94.465;-41.8;4.959;5228.1;0
30820;32;0;0;3;0;2;0;0;6;3;294;1;999;0;1;-1.8;92.893;-46.2;1.344;5099.1;0
20297;38;9;2;3;1;0;0;0;1;1;95;3;999;0;1;1.4;93.444;-36.1;4.965;5228.1;0
3860;31;4;1;3;0;0;0;1;6;0;385;7;999;0;1;1.1;93.994;-36.4;4.859;5191.0;0
22635;40;9;1;5;0;0;2;0;1;0;82;2;999;0;1;1.4;93.444;-36.1;4.964;5228.1;0
22780;58;0;0;6;1;0;0;0;1;1;129;2;999;0;1;1.4;93.444;-36.1;4.965;5228.1;0
36617;53;3;1;3;0;0;2;0;4;2;147;1;999;2;0;-2.9;92.963;-40.8;1.26;5076.2;1
8274;39;6;1;6;1;2;0;1;4;3;123;5;999;0;1;1.4;94.465;-41.8;4.864;5228.1;0
15213;50;0;0;6;0;2;0;0;3;2;231;2;999;0;1;1.4;93.918;-42.7;4.958;5228.1;0
12887;36;0;1;6;0;2;0;0;3;3;716;5;999;0;1;1.4;93.918;-42.7;4.962;5228.1;1
28201;36;0;0;3;0;0;0;0;0;3;197;1;999;0;1;-1.8;93.075;-47.1;1.453;5099.1;0
32247;33;0;1;3;0;0;0;1;6;0;396;2;999;0;1;-1.8;92.893;-46.2;1.313;5099.1;0
34237;28;9;2;6;0;2;2;0;6;2;178;2;999;1;0;-1.8;92.893;-46.2;1.266;5099.1;0
3982;38;0;2;6;1;2;0;1;6;1;55;2;999;0;1;1.1;93.994;-36.4;4.858;5191.0;0
30733;43;1;1;1;0;0;2;0;6;3;175;1;999;0;1;-1.8;92.893;-46.2;1.344;5099.1;0
33951;24;8;2;3;1;2;0;0;6;4;290;1;999;1;0;-1.8;92.893;-46.2;1.281;5099.1;0
9165;45;0;2;2;1;2;0;1;4;0;172;2;999;0;1;1.4;94.465;-41.8;4.967;5228.1;0
38553;58;5;0;3;0;2;0;0;8;2;76;4;999;0;1;-3.4;92.431;-26.9;0.722;5017.5;0
6821;41;1;1;0;0;0;2;1;6;4;99;2;999;0;1;1.1;93.994;-36.4;4.857;5191.0;0
5779;33;1;1;3;0;0;0;1;6;1;333;1;999;0;1;1.1;93.994;-36.4;4.857;5191.0;0
14012;46;0;1;6;1;0;2;0;3;0;71;2;999;0;1;1.4;93.918;-42.7;4.963;5228.1;0
11783;42;7;1;3;0;0;0;1;4;0;55;2;999;0;1;1.4;94.465;-41.8;4.959;5228.1;0
3987;31;9;1;6;0;0;0;1;6;1;95;1;999;0;1;1.1;93.994;-36.4;4.858;5191.0;0
28312;82;5;1;7;0;0;0;0;0;4;321;1;999;0;1;-1.8;93.075;-47.1;1.445;5099.1;1
38502;39;0;1;5;0;0;0;1;8;3;219;2;999;0;1;-3.4;92.431;-26.9;0.728;5017.5;0
31439;47;1;1;2;0;2;2;0;6;4;74;6;999;2;0;-1.8;92.893;-46.2;1.334;5099.1;0
12099;40;1;1;0;0;2;2;1;4;1;322;3;999;0;1;1.4;94.465;-41.8;4.947;5228.1;0
11828;31;0;2;2;1;2;2;1;4;0;13;15;999;0;1;1.4;94.465;-41.8;4.959;5228.1;0
38118;35;9;1;6;0;2;2;0;9;2;62;3;999;0;1;-3.4;92.379;-29.8;0.743;5017.5;0
5352;53;9;0;5;0;0;0;1;6;0;327;2;999;0;1;1.1;93.994;-36.4;4.857;5191.0;0
2941;35;2;1;2;0;2;0;1;6;4;295;2;999;0;1;1.1;93.994;-36.4;4.859;5191.0;0
6698;43;9;0;7;0;0;0;1;6;4;80;9;999;0;1;1.1;93.994;-36.4;4.857;5191.0;0
41079;51;7;1;3;0;2;0;0;7;1;354;3;6;3;2;-1.1;94.767;-50.8;1.05;4963.6;0
33783;29;0;2;3;0;0;0;0;6;4;131;1;999;1;0;-1.8;92.893;-46.2;1.281;5099.1;0
26183;47;6;2;5;0;2;0;0;7;2;97;2;999;0;1;-0.1;93.2;-42.0;4.076;5195.8;0
18051;45;1;1;2;0;2;0;0;3;4;73;1;999;0;1;1.4;93.918;-42.7;4.963;5228.1;0
10868;41;1;0;0;0;2;0;1;4;4;122;1;999;0;1;1.4;94.465;-41.8;4.962;5228.1;0
35434;29;0;0;5;0;2;2;0;6;1;58;6;999;0;1;-1.8;92.893;-46.2;1.244;5099.1;0
39873;37;10;1;6;0;2;0;1;4;3;126;3;2;2;2;-1.7;94.055;-39.8;0.723;4991.6;0
17242;41;0;1;2;1;0;0;1;3;0;259;2;999;0;1;1.4;93.918;-42.7;4.962;5228.1;0
31476;38;6;1;2;0;0;0;0;6;4;270;4;999;1;0;-1.8;92.893;-46.2;1.334;5099.1;0
31720;36;1;1;2;0;2;2;0;6;2;314;2;999;0;1;-1.8;92.893;-46.2;1.327;5099.1;0
34543;37;7;2;3;0;2;0;0;6;2;30;6;999;0;1;-1.8;92.893;-46.2;1.266;5099.1;0
16660;33;9;1;6;0;2;0;0;3;4;162;6;999;0;1;1.4;93.918;-42.7;4.963;5228.1;0
32423;41;7;2;3;0;2;0;0;6;0;408;2;999;0;1;-1.8;92.893;-46.2;1.313;5099.1;0
39686;33;0;1;6;0;2;2;0;6;1;312;2;999;0;1;-1.8;93.876;-40.0;0.685;5008.7;0
34946;52;6;0;6;0;2;0;0;6;0;158;1;999;0;1;-1.8;92.893;-46.2;1.25;5099.1;0
